颜色,8月销量,动销SPU,伴娘裙,妈妈装,婚纱,少女伴娘,晚礼服,舞会裙,花童裙,返校节裙,鸡尾酒裙,占比%
Ivory,3521,1095,61,109,2960,12,96,29,190,23,41,12.05
White,2131,840,72,77,1730,4,90,25,99,9,25,7.29
Black,2038,883,364,672,122,8,537,163,39,15,118,6.98
As Picture,1432,496,72,452,277,7,307,169,50,29,69,4.9
Champagne,1253,643,202,511,190,13,215,51,30,2,39,4.29
Navy Blue,1150,525,178,651,2,4,202,51,15,4,43,3.94
Burgundy,1081,535,301,439,0,11,196,82,20,5,27,3.7
Chocolate,960,458,306,390,0,5,179,34,19,1,26,3.29
Olive Green,934,437,243,410,0,5,188,45,16,2,25,3.2
Cabernet,798,405,99,450,0,7,166,25,13,2,36,2.73
Terracotta,712,329,262,228,0,12,121,26,29,4,30,2.44
Dark Navy,630,350,62,325,0,0,153,26,9,3,52,2.16
Royal Blue,625,386,88,300,1,0,150,35,7,3,41,2.14
Slate Blue,572,281,82,370,0,1,86,8,8,0,17,1.96
Dusty Rose,561,328,182,218,0,5,91,20,21,3,21,1.92
Emerald,538,295,121,232,0,2,117,29,6,2,29,1.84
Red,506,316,124,137,1,1,151,55,2,9,26,1.73
Burnt Orange,412,219,219,82,0,4,62,16,5,1,23,1.41
Hunter Green,396,254,83,178,4,4,84,16,5,3,19,1.36
Celadon,387,240,149,130,0,3,58,31,9,0,7,1.32
Sky Blue,365,222,134,117,0,4,45,37,11,2,15,1.25
Fuchsia,350,235,90,135,0,3,73,20,0,4,25,1.2
Peacock,341,239,48,188,0,2,63,11,2,0,27,1.17
Gold,340,223,76,107,1,3,90,37,9,3,14,1.16
Taupe,305,189,49,171,0,0,64,15,2,1,3,1.04
Blush,303,194,109,104,0,5,47,7,15,1,15,1.04
Ink Blue,302,219,57,153,0,1,60,14,3,0,14,1.03
Lilac,302,181,140,63,1,7,36,25,12,5,13,1.03
Grape,300,199,64,152,0,8,45,17,2,1,11,1.03
Dusty Blue,265,174,59,149,0,3,27,10,1,1,15,0.91
Stormy,241,153,17,173,0,1,37,1,0,2,10,0.82
Vintage Mauve,224,141,33,135,0,4,36,2,6,0,8,0.77
Silver,222,161,27,111,0,3,53,18,2,0,8,0.76
Sage Green,221,161,79,79,0,3,29,14,6,5,6,0.76
Orchid,217,164,41,124,0,1,33,7,1,0,10,0.74
Plum,216,134,14,147,0,1,34,8,4,0,8,0.74
Regency,211,148,59,75,0,2,45,15,0,1,14,0.72
Hot Pink,207,153,61,64,0,1,41,16,2,1,21,0.71
Cinnamon Rose,171,122,27,102,0,1,36,1,0,1,3,0.59
Vermilion,170,116,48,70,0,1,31,9,2,1,8,0.58
Daffodil,170,119,61,31,1,6,35,19,8,0,9,0.58
Coral,168,116,77,45,0,3,15,12,9,3,4,0.57
Dark Green,164,124,27,72,0,1,49,11,2,0,2,0.56
Steel Grey,157,116,37,73,0,0,26,10,1,0,10,0.54
Ocean Blue,155,124,42,52,0,0,31,13,1,1,15,0.53
Candy Pink,145,102,47,34,0,3,22,18,3,1,17,0.5
Pearl Pink,145,104,25,62,1,4,25,8,9,3,8,0.5
Teal,139,99,61,46,0,0,14,8,1,0,9,0.48
Mulberry,137,107,33,72,0,2,18,7,2,0,3,0.47
Light Blue,136,106,35,59,1,4,19,13,1,0,4,0.47
Moss Green,136,104,52,48,0,2,26,4,0,0,4,0.47
Wisteria,132,86,27,78,0,2,18,2,2,0,3,0.45
Blushing Pink,124,96,34,43,7,3,18,5,8,0,6,0.42
Orange,119,92,54,29,0,2,11,9,2,1,11,0.41
Dusk,119,82,9,86,0,0,14,5,2,0,3,0.41
Forest Green,117,83,18,43,0,1,40,6,2,1,6,0.4
Rose Gold,114,87,12,52,1,2,18,9,3,4,13,0.39
Tahiti,111,88,16,66,0,1,18,3,1,0,6,0.38
Petal,109,84,17,41,0,8,17,7,12,2,5,0.37
Mauve,101,75,27,54,0,4,10,2,1,1,2,0.35
Beige,95,75,14,47,2,1,22,5,1,0,3,0.33
Pool,92,74,28,27,0,0,19,6,3,2,7,0.31
Papaya,85,64,29,34,0,0,13,4,0,1,4,0.29
Jade,73,61,8,25,0,2,25,9,0,0,4,0.25
Spa,69,56,18,13,0,0,12,13,3,6,4,0.24
Mist,69,55,24,21,0,0,10,3,4,1,6,0.24
Lavender,56,48,13,20,0,0,7,5,1,0,10,0.19
Watermelon,39,36,12,14,0,0,6,3,1,0,3,0.13
Mint Green,29,27,8,10,0,1,4,2,0,1,3,0.1
Pink,2,2,1,0,0,0,0,0,0,1,0,0.01
未标注,1,1,0,0,0,0,1,0,0,0,0,0.0
