色带,颜色,状态,8月销量
咖啡色带,Chocolate,已有,951
咖啡色带,Taupe,已有,297
咖啡色带,Espresso,缺失,0
咖啡色带,Mocha,缺失,0
咖啡色带,Latte,缺失,0
咖啡色带,Caramel,缺失,0
咖啡色带,Toffee,缺失,0
咖啡色带,Cocoa,缺失,0
静奢白带,Beige,已有,95
静奢白带,Oyster,缺失,0
静奢白带,Cream,缺失,0
静奢白带,Nude,缺失,0
静奢白带,Alabaster,缺失,0
静奢白带,Sand,缺失,0
绿色系,Olive Green,已有,929
绿色系,Emerald,已有,535
绿色系,Hunter Green,已有,385
绿色系,Celadon,已有,376
绿色系,Sage Green,已有,221
绿色系,Dark Green,已有,137
绿色系,Moss Green,已有,132
绿色系,Forest Green,已有,99
绿色系,Jade,已有,73
绿色系,Mint Green,已有,20
绿色系,Eucalyptus,缺失,0
绿色系,Silver Sage,缺失,0
绿色系,Pistachio,缺失,0
绿色系,Pine,缺失,0
绿色系,Matcha,缺失,0
大地橙棕,Terracotta,已有,708
大地橙棕,Burnt Orange,已有,377
大地橙棕,Cinnamon Rose,已有,151
大地橙棕,Orange,已有,117
大地橙棕,Papaya,已有,78
大地橙棕,Rust,缺失,0
大地橙棕,Muted Terracotta,缺失,0
大地橙棕,Sienna,缺失,0
大地橙棕,Copper,缺失,0
大地橙棕,Paprika,缺失,0
蓝色系,Slate Blue,已有,572
蓝色系,Sky Blue,已有,350
蓝色系,Dusty Blue,已有,239
蓝色系,Stormy,已有,205
蓝色系,Steel Grey,已有,141
蓝色系,Ocean Blue,已有,136
蓝色系,Teal,已有,125
蓝色系,Light Blue,已有,97
蓝色系,Ice Blue,缺失,0
蓝色系,Powder Blue,缺失,0
蓝色系,French Blue,缺失,0
蓝色系,Periwinkle,缺失,0
蓝色系,Twilight,缺失,0
紫红系,Cabernet,已有,798
紫红系,Burgundy,已有,1078
紫红系,Grape,已有,296
紫红系,Plum,已有,215
紫红系,Mulberry,已有,132
紫红系,Mauve,已有,89
紫红系,Merlot,缺失,0
紫红系,Dark Cherry,缺失,0
紫红系,Fig,缺失,0
紫红系,Sangria,缺失,0
