原始色名,标准色名
Bleu clair,Light Blue
Hellblau,Light Blue
Azul claro,Light Blue
Azzurro,Light Blue
Jasnoniebieski,Light Blue
Błękitny,Light Blue
Bonbonrosa,Candy Pink
Rosa Chicle,Candy Pink
Sukkertøyrosa,Candy Pink
Rosa Confetto,Candy Pink
Blu Inchiostro,Ink Blue
Atramentowy,Ink Blue
Orange brûlé,Burnt Orange
Naranja Quemada,Burnt Orange
Arancia bruciata,Burnt Orange
Bränd apelsin,Burnt Orange
Brent oransje,Burnt Orange
Spalona Pomarańcza,Burnt Orange
Rostorange,Burnt Orange
Rdzawy pomarańcz,Burnt Orange
Forêt verte,Forest Green
Verde foresta,Forest Green
Azzurro cielo,Sky Blue
Himmelsblå,Sky Blue
Blu Polvere,Dusty Blue
Støvblå,Dusty Blue
Taubenblau,Dusty Blue
Duvblå,Dusty Blue
Malva,Mauve
Vintage-Mauve,Vintage Mauve
Vintage mauve,Vintage Mauve
Stürmisch,Stormy
Orageux,Stormy
Tempestoso,Stormy
Tormentoso,Stormy
Rosa Canela,Cinnamon Rose
Zimtrosé,Cinnamon Rose
Rosa Cannella,Cinnamon Rose
Pétale,Petal
Pétalo,Petal
Petalo,Petal
Blütenblatt,Petal
Płatek,Petal
Celadón,Celadon
Verde oscuro,Dark Green
Verde scuro,Dark Green
Vert foncé,Dark Green
Dunkelgrün,Dark Green
Mörkgrön,Dark Green
Ciemnozielony,Dark Green
Rosé,Blush
Colorete,Blush
Fard,Blush
Rosa cipria,Blush
Zartrosa,Blush
Puderrosa,Blush
Pudderrosa,Blush
Nebel,Mist
Brume,Mist
Bruma,Mist
Nebbia,Mist
Mgła,Mist
Blauregen,Wisteria
Blåregn,Wisteria
Glicynia,Wisteria
Blu Oceano,Ocean Blue
Ozeanblau,Ocean Blue
Błękit oceanu,Ocean Blue
Havblå,Ocean Blue
Verde cacciatore,Hunter Green
Jägargrön,Hunter Green
Zieleń myśliwska,Hunter Green
Rose fuchsia,Fuchsia
Rosa fucsia,Fuchsia
Fuksja,Fuchsia
Piscina,Pool
Piscine,Pool
Schwimmbad,Pool
Basen,Pool
Zinnober,Vermilion
Cinnober,Vermilion
Vermiglio,Vermilion
Enligt bild,As Picture
Som på bildet,As Picture
Slå samman,未标注
Dämmerung,Dusk
Crépuscule,Dusk
Crepuscolo,Dusk
Atardecer,Dusk
Style Régence,Regency
Regency-Stil,Regency
Estilo Regencia,Regency
Reggenza,Regency
Styl regencji,Regency
Rosa perlado,Pearl Pink
Perlmuttrosa,Pearl Pink
Perłowy róż,Pearl Pink
Knallpink,Hot Pink
Heißes Rosa,Hot Pink
Osterglocke,Daffodil
Påskelilje,Daffodil
Narcyz,Daffodil
Terme,Spa
Topo,Taupe
Tortora,Taupe
Mullvad,Taupe
Bleu canard,Teal
Blaugrün,Teal
Ottanio,Teal
Verde acqua,Teal
Gelso,Mulberry
Gammelrosa,Dusty Rose
Rosa palo,Dusty Rose
Brudny róż,Dusty Rose
Kungsblå,Royal Blue
Kongeblå,Royal Blue
Chabrowy,Royal Blue
Verde menta,Mint Green
Mintgrün,Mint Green
Pawpaw,Papaya
Papaia,Papaya
Papaja,Papaya
Pastèque,Watermelon
Wassermelone,Watermelon
Arbuz,Watermelon
Anguria,Watermelon
Sandía,Watermelon
Czekolada,Chocolate
Sjokolade,Chocolate
Stahlgrau,Steel Grey
Grigio Acciaio,Steel Grey
Gris Acero,Steel Grey
Gris Acier,Steel Grey
Stalowy szary,Steel Grey
Mörk marinblå,Dark Navy
Ciemny granat,Dark Navy
Szmaragd,Emerald
Verde muschio,Moss Green
Verde Muschio,Moss Green
Olivgrön,Olive Green
Oliwkowa zieleń,Olive Green
Olivengrønn,Olive Green
Tahití,Tahiti
Róż,Pink
Lawenda,Lavender
Syrenlila,Lilac
Drue,Grape
Vindruva,Grape
Winogrono,Grape
Marineblå,Navy Blue
Vinrød,Burgundy
Bordowy,Burgundy
Terakota,Terracotta
Naranja teja,Terracotta
Arancia,Orange
Orkide,Orchid
Orkidé,Orchid
Rose gull,Rose Gold
Rosegull,Rose Gold
Rose guld,Rose Gold
Påfågel,Peacock
Påfugl,Peacock
Paw,Peacock
Sølv,Silver
Śliwka,Plum
Rød,Red
Lolly Pink,Candy Pink
Candyfloss Pink,Candy Pink
Blusher,Blush
Blush Pink,Blush
Dusky Pink,Dusty Rose
