品类,现日均收入$,现日均订单,目标客单价$,同比参照(3月/H1/9月1-14),v50增速(收入),v50目标日均收入$,v50目标日均订单,v60增速(收入),v60目标日均收入$,v60目标日均订单,v70增速(收入),v70目标日均收入$,v70目标日均订单
Mother of the Bride,37133,268,138,+68% / +92% / +86%,+50%,55700,402,+55%,57556,417,+62%,60155,436
Bride,26329,140,189,+72% / +98% / +121%,+35%,35544,188,+43%,37650,199,+53%,40283,213
Evening,13955,93,151,+55% / +90% / +105%,+65%,23026,153,+86%,25956,172,+98%,27631,183
Bridesmaid,13535,131,90,+104% / +117% / +89%,+80%,24363,271,+100%,27070,301,+118%,29507,328
Prom,7664,49,158,+31% / +41% / +40%,+30%,9963,63,+35%,10346,66,+40%,10729,68
Cocktail,3666,28,131,+128% / +150% / +125%,+60%,5866,45,+80%,6599,50,+90%,6966,53
Flower Girl,1358,18,76,+58% / +68% / +87%,+40%,1901,25,+50%,2037,27,+60%,2173,28
其他品类(统一),3582,269,-,-,+50%,5373,404,+60%,5731,431,+70%,6090,458
公司合计,107222,996,-,3月裙装约+69% / H1约+93% / 9月约+96%,+50.8%,161735,1551,+61.3%,172945,1663,+71.2%,183534,1767
"口径说明:伴娘目标客单价按$90(现$103)换算订单,其余品类客单价不变;增速均为收入口径;9月同比为2026.9.1-14 vs 2025.9.1-14",,,,,,,,,,,,,
"2026-09修订(v50不变):MOB -5pp(v60)/-8pp(v70)回撤利基份额与稀释风险;ED +6/+8pp(存量换图修复双轨达标激活);BD +5/+8pp(减速中,10-11月检查护航);Bride +1/+3pp(同比+121%加速,窗口内);依据见missacc_202609_checkpoint_review.md",,,,,,,,,,,,,
