版本,品类,2026-08,2026-09,2026-10,2026-11,2026-12,2027-01,2027-02,9-2月合计,模型测算需求(9-2月)
v50,Mother of the Bride,50,55,55,55,55,55,55,330,327
v50,Evening,70,70,75,55,50,55,75,380,906
v50,Bride,40,40,35,25,20,25,35,180,0
v50,Bridesmaid,15,20,20,20,20,20,20,120,80
v50,Prom,0,0,0,30,45,35,0,110,旺季窗口
v50,Cocktail,8,10,10,10,8,8,10,56,0
v50,Flower Girl,0,5,5,5,2,2,5,24,0
v50,月合计,183,200,200,200,200,200,200,1200,产能约束≤200/月
v60,Mother of the Bride,60,75,75,75,75,75,75,450,477
v60,Evening,65,50,50,35,25,33,50,243,1124
v60,Bride,40,25,25,15,10,15,25,115,57
v60,Bridesmaid,25,35,35,35,35,35,35,210,233
v60,Prom,0,0,0,30,45,32,0,107,旺季窗口
v60,Cocktail,8,10,10,8,8,8,10,54,24
v60,Flower Girl,0,5,5,2,2,2,5,21,0
v60,月合计,198,200,200,200,200,200,200,1200,产能约束≤200/月
